thrust time (ms),thrust (N),burn time (s),Pc (psi),Pc time (ms),burn time (s),Interpolated Pc,At (in$2),Ctau
1713734909184,4.9,0,2.91751,1713734909182,0,,1.847200686,0.9092213929
1713734909196,5.64,0.012,3.45839,1713734909201,0.019,,,
1713734909208,8.21,0.024,3.70917,1713734909204,0.022,,,
1713734909217,22.95,0.033,4.0208,1713734909207,0.025,,,
1713734909229,69.75,0.045,4.61685,1713734909209,0.027,,,
1713734909241,159.65,0.057,5.40387,1713734909212,0.03,,,
1713734909256,195.01,0.072,6.84762,1713734909218,0.036,,,
1713734909262,177.86,0.078,8.24572,1713734909227,0.045,,,
1713734909274,165.83,0.09,9.81944,1713734909230,0.048,,,
1713734909286,165.75,0.102,11.58643,1713734909233,0.051,,,
1713734909294,162.35,0.11,13.36228,1713734909236,0.054,,,
1713734909307,163.17,0.123,15.21313,1713734909239,0.057,,,
1713734909319,161.83,0.135,17.25835,1713734909242,0.06,,,
1713734909327,159.88,0.143,19.23826,1713734909245,0.063,,,
1713734909339,161.66,0.155,21.31324,1713734909248,0.066,,,
1713734909352,170.51,0.168,23.35715,1713734909251,0.069,,,
1713734909360,186.33,0.176,25.4526,1713734909257,0.075,,,
1713734909372,213.34,0.188,28.08303,1713734909264,0.082,,,
1713734909384,251.78,0.2,30.75672,1713734909271,0.089,,,
1713734909393,274.89,0.209,33.44922,1713734909283,0.101,,,
1713734909405,285.82,0.221,35.91733,1713734909290,0.108,,,
1713734909413,301.69,0.229,38.49617,1713734909297,0.115,,,
1713734909425,319.94,0.241,40.73639,1713734909301,0.119,,,
1713734909438,339.82,0.254,43.15875,1713734909306,0.124,,,
1713734909446,357.47,0.262,45.63282,1713734909312,0.13,,,
1713734909458,373.22,0.274,47.67055,1713734909316,0.134,,,
1713734909471,386.81,0.287,50.19896,1713734909319,0.137,,,
1713734909479,399.38,0.295,52.51707,1713734909328,0.146,,,
1713734909491,417.7,0.307,54.8195,1713734909332,0.15,,,
1713734909503,432.85,0.319,57.27063,1713734909335,0.153,,,
1713734909512,447.8,0.328,59.88159,1713734909340,0.158,,,
1713734909524,462.7,0.34,62.915,1713734909346,0.164,,,
1713734909536,475.48,0.352,66.18316,1713734909357,0.175,,,
1713734909544,489.93,0.36,69.3209,1713734909361,0.179,,,
1713734909557,506.15,0.373,72.48292,1713734909365,0.183,,,
1713734909569,527.2,0.385,75.86526,1713734909368,0.186,,,
1713734909577,543.01,0.393,79.01941,1713734909372,0.19,,,
1713734909594,561.12,0.41,82.30807,1713734909376,0.194,,,
1713734909602,583.03,0.418,85.55656,1713734909380,0.198,,,
